City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Parvatipuram,IN,78.53,scattered clouds,18.7833,83.4333,Laxman Lodge
371,Weyburn,CA,70.02,clear sky,49.6668,-103.8511,Perfect Inns & Suites
372,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
373,Armizonskoye,RU,62.1,overcast clouds,55.9461,67.6736,
374,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
377,Imbituba,BR,78.85,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
383,Villazon,BO,68.74,broken clouds,-22.0866,-65.5942,La Candelaria
387,Magadi,IN,73.56,overcast clouds,12.9667,77.2333,Gobi centre
388,Manono,CD,78.78,few clouds,-7.3,27.4167,Hotel hewa bora
392,Wajima,JP,77.92,clear sky,37.4,136.9,Wajiima Onsen Yashio
394,Petawawa,CA,65.07,overcast clouds,45.9001,-77.3328,Petawawa River Inn & Suites
395,San Policarpo,PH,79.84,moderate rain,12.1791,125.5072,Agapita M. Nicart
396,Newport,GB,72.45,overcast clouds,51.5877,-2.9984,ibis budget Newport
400,Soe,ID,61.21,overcast clouds,-9.8607,124.284,Dena Hotel
402,San Rafael,AR,62.85,clear sky,-34.6177,-68.3301,Hotel San Rafael
403,Shediac,CA,79.32,scattered clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
404,Dicabisagan,PH,78.96,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
411,Lingdong,CN,70.7,overcast clouds,46.5669,131.1453,Shengtianyuan Hotel
412,Wattegama,LK,76.48,overcast clouds,6.7989,81.4808,
413,Banda Aceh,ID,78.24,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
415,Dzhebariki-Khaya,RU,62.24,broken clouds,62.2167,135.8,
416,Kieta,PG,77.27,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
418,Siparia,TT,78.78,few clouds,10.1333,-61.5,Brook Gardens
420,Khandyga,RU,63.45,overcast clouds,62.6667,135.6,Apel'sin
422,Calama,CL,76.37,clear sky,-22.4667,-68.9333,Park Hotel Calama
424,Biak,ID,74.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
425,Kimbe,PG,74.88,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
427,Grado,ES,69.67,broken clouds,43.388,-6.0743,El Lacayo de Sestiello
429,Cidreira,BR,68.76,overcast clouds,-30.1811,-50.2056,Hotel Castelo
431,Cairns,AU,66.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
433,Kysyl-Syr,RU,65.5,clear sky,63.8986,122.7617,
434,Praia Da Vitoria,PT,77.76,broken clouds,38.7333,-27.0667,Hotel Branco I
438,Mirnyy,RU,64.24,clear sky,62.5353,113.9611,квартира
439,Soyo,AO,71.22,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
440,Belawan,ID,77.29,light rain,3.7755,98.6832,Rumah Mamak Bapak M.Radial
